module(PPN) ; module(GPU) intitulé

M1101 ; SI1 Introduction aux systèmes informatiques
M1102 ; AP1.1 Introduction à l'algorithmique et à la programmation
M1103 ; AP1.2 Structures de données et algorithmes fondamentaux
M1104 ; BD1 Introduction aux bases de données
M1105 ; CDIN1 Conception de documents et d'interfaces numériques
M1106 ; PTS1 Projet tutoré -- Découverte
M1201 ; MD1 Mathématiques discrètes
M1202 ; AL1 Algèbre linéaire
M1203 ; ECO1 Environnement économique
M1204 ; ORGA1 Fonctionnement des organisations
M1205 ; EC1 Expression-Communication -- Fondamentaux de la communication
M1206 ; ANG1 Anglais et Informatique
M1207 ; PPP1 Projet personnel et professionnel -- Connaître le monde professionnel

M2101 ; SI2 Architecture et programmation des mécanismes de base d'un système informatique
M2102 ; RES2 Architecture des réseaux
M2103 ; POO2 Bases de la programmation orientée objet
M2104 ; BCOO2 Bases de la conception orientée objet
M2105 ; IHM2 Introduction aux interfaces homme-machine
M2106 ; BD2 Programmation et administration des bases de données
M2107 ; PTS2 Projet tutoré -- Description et planification de projet
M2201 ; LAN2 Graphes et langages
M2202 ; AMN2 Analyse et méthodes numériques
M2203 ; ECJS2 Environnement comptable, financier juridique et social
M2204 ; GPI2 Gestion de projet informatique
M2205 ; EC2 Expression-Communication -- Communication, information et argumentation
M2206 ; ANG2 Communiquer en anglais
M2207 ; PPP2 Projet personnel et professionnel -- Identifier ses compétences

M3101 ; SE3 Principe des systèmes d'exploitation
M3102 ; RES3 Services réseaux
M3103 ; AA3 Algorithmique avancée
M3104 ; PWS3 Programmation Web côté serveur
M3105 ; CPO3 Conception et programmation objet avancées
M3106 ; BD3 Bases de données avancées*
M3201 ; STAT3 Probabilités et statistiques
M3202PEC ; MMA3 Modélisations mathématiques
M3202PEL ; TS3 Traitement du signal
M3203 ; DTIC3 Droit des TIC
M3204 ; GSI3 Gestion des systèmes d'information
M3205 ; EC3 Expression-Communication -- Communication professionnelle
M3206 ; ANG3 Collaborer en anglais
M3301 ; MPA3 Méthodologie de la production d'applications
M3302 ; PTS3 Projet tutoré -- Mise en situation professionnelle
M3303 ; PPP3 Projet personnel et professionnel -- Préciser son projet

M4101PEC ; ASR4 Administration système et réseau
M4101PEL ; PMN4 Programmation mobile native
M4102PEC ; WS4 Programmation répartie Web Services
M4102PEL ; ROC4 Réseaux pour les objets connectés
M4103PEC ; PROGWEB4 Programmation Web -- client riche
M4103PEL ; ASE4 Architecture et systèmes embarqués
M4104PEC ; DEVMOB4 Conception et développement d'applications mobiles
M4104PEL ; MPM4 Modélisation processus métiers
M4105PEC ; DEVOPSMS4 Développement opérationnel (DevOps) Micro Services
M4105PEL ; DEVOPS4 Développement opérationnel (DevOps)
M4106PEC ; PTS4C Projet tutoré -- Compléments
M4106PEL ; PTS4 Projet tutoré -- Compléments
M4201PEC ; ACE4 Ateliers de création d'entreprise
M4201PEL ; MPE4 Mathématiques pour la poursuite d'études
M4202PEC ; RO4 Recherche opérationnelle et aide à la décision
M4202PEL ; ADM4 Analyse de données massives
M4203 ; EC4 Expression-Communication -- Communiquer dans les organisations
M4204 ; ANG4 Travailler en anglais
M4301 ; STAGE4 Stage professionnel

M5001 ; Anglais Anglais
M5002 ; InsPro Insertion professionnelle
M5003 ; UX_Intro UX Introduction
M5004 ; Droit_Ref Droit référencement
M5005 ; MethodoAgile Méthodologie Agile
M5006 ; Veille Veille
M5007 ; WEB_JS Harmonisation Web JavaScript
M5008 ; Prog_BD Harmonisation programmation bases de données
M5009 ; GP Gestion de projet
M5010 ; DMHE Développement mobile hydride encapsulé
M5011 ; DNA Développement natif Android
M5012 ; BDA Bases de données Android
M5013 ; UXAT UX avancé et tests
M5014 ; BDIOS Bases de données iOS
M5015 ; DNIOS Développement natif iOS
M5016 ; ITRA Initiation Unity
M5017DMO ; DMA Développement mobile avancé
M5018DMO ; IIOT Interfaçage objets connectés
M5019DMO ; GIM Gestion infrastructure mobile
M5020DMO ; DS Démarche sécurité
M5021DFS ; DWCS Développement Web côté serveur
M5022DFS ; DWJSA Développement Web JavaScript avancé
M5023DFS ; DevOps Développement opérationnel (DevOps)
M5024 ; ProjCla Projet tutoré étudiants classiques
M5025 ; ProjApp Projet tutoré étudiants apprentis
M5026 ; SuiviApp Suivi étudiants apprentis
M5027 ; StageCla Stage étudiants classiques
